PUMA,TYPE,BLD,NP,RNTP,SNAP,RMSP,VEH,HINCP,TANF,WGTP,HHT,NOC,UTIL,SERIALNO,SS,POVPIP,INC_TYPE
108,female head,apartment,2,890,1,4,0,20,0,19,3,0,50,2018HU0458877,0,0,variable
120,married,apartment,2,1400,0,5,2,20,0,25,1,0,0,2018HU1139720,0,0,variable
104,married,house,2,650,0,7,2,50,0,12,1,0,70,2.02E+12,20,0,variable
109,male head,apartment,2,1000,0,6,0,60,0,9,5,0,70,2.02E+12,0,0,variable
115,female head,apartment,3,460,1,4,1,70,0,12,3,2,50,2.02E+12,0,0,variable
101,female head,house,2,500,0,3,0,90,0,5,7,0,0,2.02E+12,0,0,variable
118,male head,apartment,1,750,0,4,0,90,0,7,4,0,60,2019HU0741682,0,0,variable
115,male head,apartment,1,1000,1,3,1,100,0,53,4,0,100,2.02E+12,0,0,variable
109,female head,apartment,2,1400,0,3,2,100,0,14,7,0,210,2.02E+12,0,0,variable
108,female head,apartment,1,1300,0,1,1,100,0,12,6,0,140,2.02E+12,0,0,variable
118,female head,apartment,1,1000,0,4,1,160,0,12,6,0,160,2.02E+12,0,1,variable
116,female head,apartment,2,590,1,1,0,180,0,11,7,0,0,2.02E+12,0,1,variable
103,male head,apartment,1,590,1,1,0,180,180,12,4,0,100,2019HU0093871,0,1,variable
109,female head,apartment,1,690,1,3,0,190,190,13,6,0,50,2.02E+12,0,1,variable
115,male head,house,3,1100,1,7,2,190,0,26,5,0,220,2.02E+12,0,,variable
117,female head,apartment,1,740,1,3,0,190,190,12,6,0,0,2.02E+12,0,1,variable
115,female head,apartment,1,800,1,4,0,190,190,24,6,0,40,2.02E+12,0,1,variable
102,female head,apartment,1,600,0,3,1,200,0,17,6,0,60,2.02E+12,0,1,variable
106,female head,apartment,6,30,1,6,0,200,0,27,3,0,0,2.02E+12,0,0,variable
109,male head,apartment,1,830,0,3,0,200,0,33,4,0,70,2.02E+12,0,1,variable
116,female head,apartment,1,2000,0,4,0,200,0,14,6,0,200,2.02E+12,0,1,variable
116,married,apartment,2,690,0,4,0,200,200,30,1,0,100,2018HU0397988,0,1,variable
118,female head,apartment,1,2900,0,3,1,200,0,12,6,0,130,2018HU0896294,0,1,variable
119,female head,house,2,50,1,8,0,220,220,11,3,1,20,2.02E+12,0,1,variable
106,male head,apartment,1,780,0,4,1,220,0,82,4,0,60,2019HU0060620,0,1,variable
115,married,house,5,700,1,3,1,230,0,12,1,3,40,2.02E+12,0,0,variable
103,female head,apartment,1,830,0,4,1,240,0,8,6,0,60,2.02E+12,0,1,variable
111,female head,apartment,1,1100,0,3,1,240,0,29,6,0,120,2.02E+12,0,1,variable
125,female head,apartment,1,700,1,2,0,240,0,13,6,0,100,2019HU1170313,0,1,variable
118,female head,house,1,1200,1,4,2,250,0,7,6,0,340,2019HU1265132,0,1,variable
118,female head,house,1,630,0,3,1,300,0,22,6,0,120,2.02E+12,0,2,variable
118,female head,apartment,1,1400,0,2,1,300,0,21,6,0,50,2.02E+12,0,2,variable
116,female head,apartment,2,580,0,3,1,300,0,14,3,0,100,2018HU1302010,0,1,variable
104,female head,apartment,1,1400,0,1,1,300,0,11,6,0,70,2019HU0364217,0,2,variable
121,female head,house,4,1300,1,6,1,300,300,97,3,1,230,2019HU0940289,0,1,variable
118,female head,apartment,1,1100,0,4,1,310,0,62,6,0,190,2.02E+12,0,2,variable
109,married,apartment,2,1600,0,1,0,320,0,10,1,0,120,2.02E+12,0,1,variable
115,male head,apartment,1,1100,0,4,2,330,0,42,4,0,100,2.02E+12,0,2,variable
115,female head,apartment,2,740,1,3,0,350,350,28,3,1,0,2018HU0884569,0,2,variable
103,married,house,5,850,1,4,1,380,0,12,1,3,360,2018HU1078309,0,1,variable
120,female head,house,2,1200,0,10,2,390,390,26,3,0,80,2.02E+12,0,2,variable
119,married,house,5,880,1,4,1,400,0,15,1,3,240,2.02E+12,0,1,variable
114,male head,apartment,2,760,1,4,1,400,0,17,2,1,110,2.02E+12,0,2,variable
118,female head,apartment,1,680,1,4,0,400,0,6,6,0,0,2.02E+12,0,3,variable
118,male head,apartment,1,490,1,2,0,400,0,12,4,0,0,2018HU0672080,0,3,variable
116,male head,apartment,1,600,1,1,0,410,0,16,4,0,0,2.02E+12,0,3,variable
117,male head,apartment,2,1000,0,3,2,420,0,14,5,0,100,2.02E+12,0,3,variable
121,female head,house,6,800,1,5,2,450,0,15,3,4,180,2019HU0095831,0,3,variable
118,female head,apartment,1,680,0,5,1,470,0,8,6,0,220,2018HU0828280,0,3,variable
118,female head,apartment,1,1000,0,7,0,500,0,15,6,0,150,2.02E+12,0,4,variable
122,female head,apartment,1,500,0,2,0,500,500,14,6,0,100,2.02E+12,0,4,variable
112,male head,apartment,1,1200,0,6,1,500,0,16,4,0,70,2.02E+12,0,4,variable
115,male head,apartment,3,570,0,4,1,500,0,26,2,0,170,2.02E+12,0,2,variable
109,female head,apartment,2,2000,0,3,1,500,0,7,3,0,70,2.02E+12,0,3,variable
125,female head,apartment,1,600,0,1,1,500,0,16,6,0,40,2.02E+12,0,4,variable
105,female head,house,3,700,1,3,1,500,500,14,3,2,200,2.02E+12,0,2,variable
109,female head,apartment,1,860,0,3,1,500,0,11,6,0,54,2019HU0209037,0,3,variable
101,female head,apartment,1,1100,0,2,1,500,0,13,6,0,20,2019HU0423938,0,3,variable
110,female head,apartment,1,1400,0,4,0,500,0,17,6,0,104,2019HU0755139,0,3,variable
119,female head,house,6,1100,1,5,0,510,0,41,3,4,0,2.02E+12,0,1,variable
115,male head,apartment,2,700,0,3,0,520,0,20,5,0,90,2.02E+12,0,4,variable
118,married,apartment,7,710,1,5,0,540,0,49,1,5,180,2018HU1299039,0,1,variable
110,female head,apartment,1,1100,0,2,1,550,0,17,6,0,100,2019HU1346126,0,4,variable
121,male head,trailer,1,580,1,5,0,580,0,9,4,0,120,2.02E+12,0,4,variable
121,female head,house,6,800,1,6,2,600,0,21,3,4,480,2.02E+12,0,1,variable
103,female head,apartment,2,970,0,3,1,600,0,11,7,0,200,2018HU0068032,0,4,variable
119,female head,house,5,1100,1,4,1,630,0,35,3,4,150,2.02E+12,400,2,variable
128,female head,apartment,1,800,0,2,1,650,0,13,6,0,60,2018HU0767113,0,5,variable
106,male head,apartment,1,800,0,1,0,670,0,33,4,0,70,2019HU0547610,0,5,variable
117,female head,apartment,1,930,0,4,1,670,0,12,6,0,0,2019HU0347287,670,5,fixed
101,female head,house,3,500,1,5,1,680,0,24,3,0,230,2.02E+12,0,3,variable
116,married,apartment,6,700,1,4,2,700,0,10,1,1,90,2.02E+12,0,2,variable
122,female head,apartment,3,570,1,2,1,700,0,14,3,2,60,2018HU0240092,0,3,variable
121,female head,house,7,1500,1,7,1,710,0,22,3,2,320,2.02E+12,0,,variable
104,male head,house,1,710,1,5,0,720,0,45,4,0,290,2.02E+12,0,5,variable
118,male head,apartment,1,210,0,3,1,730,0,16,4,0,0,2.02E+12,730,5,fixed
117,male head,house,1,210,1,2,0,740,0,25,4,0,180,2.02E+12,740,5,fixed
105,female head,house,2,1200,0,7,1,750,0,71,3,1,300,2.02E+12,0,4,variable
128,male head,house,1,800,0,5,2,750,0,42,4,0,100,2.02E+12,750,6,fixed
119,female head,apartment,1,160,1,1,1,760,0,15,6,0,70,2.02E+12,760,6,fixed
118,male head,apartment,1,500,0,3,2,780,0,45,4,0,120,2.02E+12,0,6,variable
113,female head,apartment,1,420,1,2,0,790,0,20,6,0,4,2.02E+12,790,6,fixed
123,male head,apartment,1,740,0,2,1,800,0,9,4,0,50,2.02E+12,0,6,variable
103,male head,apartment,1,510,0,3,0,800,0,40,4,0,120,2.02E+12,0,6,variable
106,female head,house,1,850,0,4,1,800,0,19,6,0,260,2.02E+12,0,7,variable
119,female head,apartment,1,780,0,5,1,800,0,8,6,0,100,2.02E+12,0,6,variable
102,female head,apartment,2,800,0,6,1,800,0,16,3,1,50,2018HU1044759,0,4,variable
116,female head,apartment,1,770,0,2,0,800,0,12,6,0,80,2019HU0457646,0,6,variable
119,female head,apartment,1,130,1,5,1,800,30,8,6,0,80,2019HU0957163,770,6,variable
102,male head,apartment,1,670,0,2,0,800,0,12,4,0,0,2.02E+12,800,6,fixed
109,female head,apartment,1,840,0,1,1,830,0,11,6,0,30,2018HU0286312,0,6,variable
109,male head,apartment,1,870,0,4,1,840,0,17,4,0,200,2.02E+12,0,6,variable
122,female head,house,4,1000,1,4,1,850,0,31,3,3,250,2.02E+12,0,3,variable
110,female head,apartment,1,830,0,4,1,850,0,69,6,0,80,2.02E+12,0,6,variable
125,married,apartment,4,600,1,4,0,880,0,12,1,2,50,2.02E+12,0,3,variable
125,female head,apartment,1,720,1,4,0,880,0,37,6,0,20,2.02E+12,880,7,fixed
105,female head,apartment,1,900,0,4,1,890,0,15,6,0,50,2.02E+12,0,7,variable
117,male head,apartment,1,690,1,1,0,890,0,11,4,0,0,2018HU0943417,810,6,variable
103,female head,apartment,2,1000,0,4,2,900,0,11,7,0,180,2.02E+12,0,7,variable
116,male head,apartment,1,560,0,2,0,900,0,13,4,0,0,2018HU1180920,0,7,variable
122,married,house,3,1100,1,5,1,900,0,50,1,1,480,2018HU0095965,900,4,fixed
125,female head,apartment,1,530,1,2,0,910,0,13,6,0,60,2018HU0340788,750,6,variable
115,female head,apartment,1,620,1,3,0,930,0,13,6,0,60,2.02E+12,930,7,fixed
104,female head,apartment,3,830,1,4,1,950,0,79,3,0,130,2.02E+12,0,5,variable
118,female head,apartment,3,560,0,4,1,950,0,5,3,0,60,2019HU1320761,0,4,variable
103,female head,apartment,1,800,0,3,0,950,0,12,6,0,0,2.02E+12,910,7,variable
109,female head,apartment,1,550,1,3,0,950,0,12,6,0,0,2.02E+12,950,7,fixed
115,married,apartment,2,660,0,1,0,970,0,29,1,0,0,2018HU1314541,860,5,variable
118,male head,apartment,1,420,0,1,0,970,0,20,4,0,0,2.02E+12,970,7,fixed
107,female head,apartment,1,1000,0,2,1,980,0,21,6,0,80,2.02E+12,980,7,fixed
122,married,apartment,2,790,1,6,1,980,0,19,1,0,70,2019HU1001789,980,5,fixed
121,male head,apartment,1,530,0,3,0,1000,0,13,4,0,110,2.02E+12,0,8,variable
109,female head,apartment,1,790,0,5,1,1000,0,8,6,0,30,2.02E+12,0,8,variable
109,female head,house,1,800,0,5,1,1000,0,18,6,0,100,2.02E+12,0,8,variable
120,female head,house,4,1700,0,6,2,1000,0,47,3,3,320,2.02E+12,0,4,variable
116,male head,apartment,1,580,0,5,1,1000,0,10,4,0,40,2.02E+12,0,8,variable
104,male head,apartment,2,1200,0,4,2,1000,0,16,5,0,70,2.02E+12,0,8,variable
103,male head,apartment,1,560,0,2,1,1000,0,30,4,0,60,2.02E+12,0,8,variable
